ID,名称,英文名称,类型,规格,零售价,成本价,亏损金额,亏损比例,库存,状态,建议
2274,"纳米比亚 5GB/30天","Nama - 5 GB - 30 days",local,"5GB/30天",48.00,48.40,0.40,0.8%,999,active,调价或下架
1743,"博茨瓦纳 1GB/7天","Maun Telecom - 1 GB - 7 days",local,"1GB/7天",8.50,8.82,0.32,3.6%,999,active,调价或下架
1638,"安圭拉 1GB/7天","Dolphin Mobile - 1 GB - 7 days",local,"1GB/7天",7.00,7.32,0.32,4.4%,999,active,调价或下架
1531,"喀麦隆 1GB/7天","Kamtok Telecom - 1 GB - 7 days",local,"1GB/7天",5.50,5.82,0.32,5.5%,999,active,调价或下架
2438,"苏里南 无限流量/5天","Pondocom - Unlimited - 5 days",local,"0MB/5天",36.50,36.74,0.24,0.7%,999,active,调价或下架
2583,"萨摩亚 1GB/7天","Faaf Mobile - 1 GB - 7 days",local,"1GB/7天",6.00,6.24,0.24,3.8%,999,active,调价或下架
2584,"萨摩亚 2GB/15天","Faaf Mobile - 2 GB - 15 days",local,"2GB/15天",11.00,11.24,0.24,2.1%,999,active,调价或下架
1554,"布基纳法索 2GB/15天","Volta - 2 GB - 15 days",local,"2GB/15天",13.50,13.74,0.24,1.7%,999,active,调价或下架
1536,"冈比亚 1GB/7天","Wassu Telecom - 1 GB - 7 days",local,"1GB/7天",9.50,9.66,0.16,1.7%,999,active,调价或下架
2585,"萨摩亚 3GB/30天","Faaf Mobile - 3 GB - 30 days",local,"3GB/30天",15.00,15.08,0.08,0.5%,999,active,调价或下架
1883,"大洋洲 无限流量/10天 (覆盖8国)","Oceanlink - Unlimited - 10 days",regional,"0MB/10天",35.00,35.08,0.08,0.2%,999,active,调价或下架
1661,"多米尼克 5GB/30天","Vaina Communications - 5 GB - 30 days",local,"5GB/30天",29.00,29.08,0.08,0.3%,999,active,调价或下架
